dialogue_id,chat_name,group,n_speakers,spk_bin,n_chars,len_bin,n_questions,short_ratio,preview
Chat_001__batch_00023,Chat_001,action_strong,6,many,1716,medium,2,0.1,"2025-07-07T11:49:46 | Speaker_C: и самое главное - как сейчас? я презу посмотрела - там сложно 2025-07-07T11:50:22 | Speaker_B: Технологические стеки разбираем, все ок в целом 2025-07-07T11:50:46 | Speaker_B: Ну тут поня"
Chat_001__batch_00033,Chat_001,status,6,many,1353,short,1,0.15,2025-07-09T12:03:10 | Speaker_G: все хорошо 2025-07-09T12:03:16 | Speaker_F: А то что бот добавлен в чат это еще не команда? 2025-07-09T12:03:29 | Speaker_F: /join_team 2025-07-09T12:03:29 | Speaker_H: Введите код пригла
Chat_002__batch_00010,Chat_002,action_strong,3,few,2756,long,7,0.15,2023-01-19T17:10:49 | Speaker_D: Во сколько сегодня собираться будем? 2023-01-19T17:14:36 | Speaker_C: Давайте в 20.30? 2023-01-19T17:14:51 | Speaker_D: Не поздновато? 2023-01-19T17:15:16 | Speaker_D: Я до 22:30-23 макси
Chat_001__batch_00043,Chat_001,action_strong,6,many,1697,medium,4,0.15,2025-07-10T14:00:32 | Speaker_E: команда 2025-07-10T15:39:21 | Speaker_G: мы в гараже ес что с аней 2025-07-10T15:57:43 | Speaker_A: как соберетесь ткнете на кнопку создать звонок? 2025-07-10T16:02:49 | Speaker_B: Мы гот
Chat_002__batch_00072,Chat_002,action_strong,3,few,3423,long,3,0.05,2024-09-20T18:38:57 | Speaker_G: Так ты IP замени и имя пользователя 2024-09-20T18:39:09 | Speaker_G: ssh username@ip 2024-09-20T18:39:40 | Speaker_G: Ты же сейчас к своей малинке стучишь. А зачем тебе ssh? 2024-09-20T18
Chat_001__batch_00012,Chat_001,status,6,many,1823,medium,0,0.15,2025-07-04T10:44:03 | Speaker_B: Да 2025-07-04T10:44:04 | Speaker_F: да 2025-07-04T10:44:10 | Speaker_C: он уже натравлен 2025-07-04T10:44:17 | Speaker_B: Пока просто не интегрирован 2025-07-04T10:45:33 | Speaker_F: ну к
Chat_002__batch_00061,Chat_002,action_strong,4,mid,1100,short,4,0.25,"2024-05-05T18:17:19 | Speaker_A: Ага, я так понял что это промежуток когда мы можем начать 2024-05-05T18:17:25 | Speaker_A: А если во вторник? 2024-05-05T18:17:29 | Speaker_A: Во сколько? 2024-05-05T18:17:43 | Speaker_G:"
Chat_001__batch_00037,Chat_001,action_strong,3,few,1713,medium,5,0.1,"2025-07-09T20:23:26 | Speaker_A: какой из 4 усн? 2025-07-09T20:23:35 | Speaker_C: там вроде просто который 8% 2025-07-09T20:24:01 | Speaker_A: есть УСН доходы, УСН дохооды-расходы, есть АУСН доходы 8% и АУСН доходы-расхо"
Chat_002__batch_00006,Chat_002,discussion,2,few,1227,short,4,0.3,2023-01-15T15:54:42 | Speaker_B: делаю 1 слайд 2023-01-15T15:54:48 | Speaker_A: Оки 2023-01-15T15:54:58 | Speaker_A: Одно тестирование мы проходили уже кстати 2023-01-15T15:55:10 | Speaker_A: Так что можно просто результ
Chat_001__batch_00069,Chat_001,action_strong,5,mid,1753,medium,4,0.3,2025-07-22T15:25:51 | Speaker_C: Экономику пересчитали 2025-07-22T15:28:50 | Speaker_C: В приложение добавить пест и свот (я сделаю) В приложение добавить расширенную таблицу рисков (таблицу делает Катя) - туда же уберу 
Chat_001__batch_00008,Chat_001,status,6,many,7473,,1,0.1,"2025-07-03T16:00:17 | Speaker_B: Мы готовы в целом 2025-07-03T16:02:55 | Speaker_A: Иду, 1 мин 2025-07-03T16:03:57 | Speaker_A: <url> 2025-07-03T16:45:33 | Speaker_D: User Flow со стороны ИИ Этап 1: Инициализация и обуче"
Chat_001__batch_00036,Chat_001,discussion,4,mid,2872,long,4,0.25,2025-07-09T15:40:12 | Speaker_B: Там прохладно? 2025-07-09T15:40:23 | Speaker_C: Там норм 2025-07-09T15:40:29 | Speaker_C: Работает кондей и вентилятор 2025-07-09T15:40:29 | Speaker_E: кайф 2025-07-09T15:40:34 | Speaker_
Chat_002__batch_00026,Chat_002,status,5,mid,1296,short,2,0.2,"2023-04-01T10:29:38 | Speaker_A: Окей 2023-04-01T10:30:41 | Speaker_B: я в пн вечером свободен 2023-04-01T10:38:19 | Speaker_C: Поддерживаю, давайте в понедельник 2023-04-01T11:12:15 | Speaker_F: Понедельник -- довольно "
Chat_001__batch_00077,Chat_001,low_info,1,few,135,short,0,0.0,"2025-08-01T14:55:34 | Speaker_E: Да, + входим в свой ритм до ЛШМ(( 2025-08-01T14:55:34 | Speaker_E: но работу не бросаем! будем пилить!"
Chat_001__batch_00019,Chat_001,status,3,few,1832,medium,1,0.15,"2025-07-06T10:24:10 | Speaker_E: мне нужен день два чтобы показать и протестить то что правда можно будет давать в тесты на реальных чатах 2025-07-06T10:24:17 | Speaker_B: На диске создала табличку с интервью, запишите т"
Chat_001__batch_00004,Chat_001,action_strong,7,many,4078,long,2,0.2,2025-07-02T16:27:35 | Speaker_E: 5 промтов 2025-07-02T16:27:44 | Speaker_E: <url> 2025-07-02T16:27:46 | Speaker_C: Тогда очень ждём начало твоей работы))) 2025-07-02T16:28:01 | Speaker_E: <url> 2025-07-02T16:29:05 | Spea
Chat_001__batch_00006,Chat_001,action_strong,7,many,1697,medium,2,0.15,"2025-07-03T10:42:15 | Speaker_A: В корп среде рф точно жира топчик 2025-07-03T10:43:11 | Speaker_E: локальная чаще всего 2025-07-03T10:44:17 | Speaker_A: Но не стоит циклиться слишком сильно на анализе конкурентов, вам н"
Chat_002__batch_00048,Chat_002,action_strong,4,mid,3431,long,4,0.05,2023-12-07T20:53:22 | Speaker_G: Сервис по разметке изображений <user_11> <url> 2023-12-07T21:03:35 | Speaker_G: Список сервисов по разметке видосов: <url> 2023-12-09T17:07:38 | Speaker_G: <url> 2023-12-09T18:37:54 | Spe
Chat_001__batch_00066,Chat_001,status,7,many,2826,long,1,0.2,2025-07-17T15:37:53 | Speaker_B: <user_3> сможем сегодня в 16:30 созвониться? 2025-07-17T15:38:07 | Speaker_C: У нас тайминги поехали мы все еще на паре 2025-07-17T16:18:26 | Speaker_A: Конечно 2025-07-17T16:22:43 | Spea
Chat_003__batch_00004,Chat_003,action_strong,4,mid,2780,long,10,0.1,"2025-10-29T10:44:06 | Speaker_B: org - organization, loc - location и т.д. 2025-10-29T10:44:45 | Speaker_A: а, понял 2025-10-29T10:44:54 | Speaker_B: в целом на этом этапе нам это не так важно - какая сущность зафиксиров"
